"NOME_ALUNO","SEXO","IDADE (ao ingressar)","ESTADO_CIVIL (ao ingressar)","ETNIA","COD_CURSO","NOME_CURSO","ANO_INGRESSO","FORMA_INGRESSO","PERIODO_INGRESSO","ANO_EVASAO","PERIODO_EVASAO","Forna de Evasão","NUM_PERIODOS","NUM_MAX_PERIODOS","CH_TOTAL_CURSO","COTISTA","MUNICIPIO","ESTADO","PAIS","CRN","CRA","QTDE_TRANCAMENTOS"
"Aluno 1645","M","18.2","Solteiro(a)","Branca","11","Ciência da Computação","1994","Vestibular","1º Semestre","2002","2º Semestre","Desligado","9","16","2910","N","VITORIA","","Brasil","","3.57","0"
"Aluno 1646","M","25.4","Solteiro(a)","Branca","11","Ciência da Computação","2000","Novo Curso","1º Semestre","2002","2º Semestre","Desligado","9","16","2910","N","LINHARES","","Brasil","","0","0"
"Aluno 1647","M","20.4","Solteiro(a)","Preta","11","Ciência da Computação","2012","Vestibular","1º Semestre","2015","1º Semestre","Desligado","9","13","3590","N","VILA VELHA","Espirito Santo","Brasil","1,2356","0.16","0"
"Aluno 1648","M","24.9","Solteiro(a)","Branca","11","Ciência da Computação","1991","Vestibular","2º Semestre","1999","","Desligado","9","16","2910","N","","","","","4.72","0"
"Aluno 1649","M","16.5","Solteiro(a)","Branca","11","Ciência da Computação","2001","Vestibular","1º Semestre","2004","2º Semestre","Desligado","9","16","2910","N","VILA VELHA","","Brasil","","0","2"
"Aluno 1650","M","17.8","Solteiro(a)","Branca","11","Ciência da Computação","2011","Vestibular","1º Semestre","2012","2º Semestre","Desligado","9","13","3590","N","VITORIA","Espirito Santo","Brasil","2,1324","1.76","0"
"Aluno 1651","M","17.5","Solteiro(a)","Parda","11","Ciência da Computação","2000","Vestibular","1º Semestre","2003","2º Semestre","Desistência","9","16","2910","N","","","","","3.97","0"
"Aluno 1652","F","20.6","Solteiro(a)","Branca","11","Ciência da Computação","2000","Vestibular","1º Semestre","2003","2º Semestre","Desligado","9","16","2910","N","","","","","1.91","2"
"Aluno 1653","M","19.1","Solteiro(a)","Branca","11","Ciência da Computação","1991","Vestibular","2º Semestre","1996","","Desistência","9","16","2910","N","","","","","5.12","0"
"Aluno 1654","M","21.6","Solteiro(a)","Branca","11","Ciência da Computação","1994","Convênio","1º Semestre","1999","","Desligado","9","16","2910","N","VITORIA","","Brasil","","4.08","0"
"Aluno 1655","M","38.4","Separado Judicialmente","Branca","11","Ciência da Computação","2012","Vestibular","1º Semestre","2015","2º Semestre","Desligado","9","13","3590","N","VITORIA","Espirito Santo","Brasil","3,9002","4.38","0"
